"107年07月 2712 遠雄來           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"107/07/02","16,000","420,200","27.10","27.10","25.80","26.10","-0.90","13",
"107/07/03","2,499","66,423","26.70","26.70","26.70","26.70","+0.60","4",
"107/07/04","4,501","121,726","27.10","27.10","27.00","27.00","+0.30","5",
"107/07/05","0","0","--","--","--","--"," 0.00","0",
"107/07/06","3,000","82,100","27.45","27.45","27.30","27.30","X0.00","3",
"107/07/09","3,000","82,000","27.40","27.40","27.30","27.30"," 0.00","3",
"107/07/10","0","0","--","--","--","--"," 0.00","0",
"107/07/11","0","0","--","--","--","--"," 0.00","0",
"107/07/12","0","0","--","--","--","--"," 0.00","0",
"107/07/13","6,000","158,400","26.40","26.40","26.40","26.40","X0.00","5",
"107/07/16","7,000","188,300","26.70","27.05","26.70","27.05","+0.65","6",
"107/07/17","0","0","--","--","--","--"," 0.00","0",
"107/07/18","22,000","590,300","26.50","27.30","26.50","27.10","X0.00","16",
"107/07/19","100","2,610","--","--","--","--"," 0.00","1",
"107/07/20","0","0","--","--","--","--"," 0.00","0",
"107/07/23","0","0","--","--","--","--"," 0.00","0",
"107/07/24","0","0","--","--","--","--"," 0.00","0",
"107/07/25","5,548","146,326","26.35","26.35","26.35","26.35","X0.00","3",
"107/07/26","4,000","107,900","26.95","27.00","26.95","27.00","+0.65","4",
"107/07/27","2,298","62,390","27.15","27.15","27.15","27.15","+0.15","3",
"107/07/30","0","0","--","--","--","--"," 0.00","0",
"107/07/31","87,350","2,437,665","27.20","28.10","27.20","28.10","X0.00","30",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

